date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-03-11 22:31:41,transknition,,0,0,0,"Fanapt, after two doses http://wp.me/p5F8PB-9L",,,,575786197600993280,https://twitter.com/transknition/status/575786197600993280
2015-03-08 20:30:47,RoyaltySource,,0,0,0,"As result of #Novartis equity investment in #Vanda for Fanapt franchise, Vanda inherits a #royalties agreement to Sanofi &amp; Navartis.| LER",,,#Novartis #Vanda #royalties,574668605767421954,https://twitter.com/RoyaltySource/status/574668605767421954
2015-03-05 17:02:04,RoyaltySource,,0,0,0,"#Novartis agreed to transfer the U.S. and Canadian rights to the Fanapt franchise to #Vanda. | LER #bioPharm",,,#Novartis #Vanda #bioPharm,573528917635690496,https://twitter.com/RoyaltySource/status/573528917635690496
2015-03-04 16:07:27,mariarcrl,,0,0,0,"Michele/callaghan dc'd fanapt retrying navane 5mg 3xdaily&amp; cogentin 1mg for trembling in legs,.",,,,573152785056710657,https://twitter.com/mariarcrl/status/573152785056710657
2015-03-01 21:30:58,RoyaltySource,,0,0,0,"As result of #Novartis equity investment in #Vanda for Fanapt franchise, Vanda inherits a #royalties agreement to Sanofi &amp; Navartis.| LER",,,#Novartis #Vanda #royalties,572147036923011072,https://twitter.com/RoyaltySource/status/572147036923011072
2015-02-26 17:03:06,RoyaltySource,,0,0,0,"#Novartis agreed to transfer the U.S. and Canadian rights to the Fanapt franchise to #Vanda. | LER #bioPharm",,,#Novartis #Vanda #bioPharm,570992461931261953,https://twitter.com/RoyaltySource/status/570992461931261953
2015-02-22 21:30:40,RoyaltySource,,0,0,0,"As result of #Novartis equity investment in #Vanda for Fanapt franchise, Vanda inherits a #royalties agreement to Sanofi &amp; Navartis.| LER",,,#Novartis #Vanda #royalties,569610248392200193,https://twitter.com/RoyaltySource/status/569610248392200193
2015-02-21 16:02:53,lustig_joshua,,0,0,0,"Fanapt is a very underrated drug. I feel that many people would benefit from it if they only tried it.",,,,569165370084323328,https://twitter.com/lustig_joshua/status/569165370084323328
2015-02-19 17:02:05,RoyaltySource,,0,0,0,"#Novartis agreed to transfer the U.S. and Canadian rights to the Fanapt franchise to #Vanda. | LER #bioPharm",,,#Novartis #Vanda #bioPharm,568455491724161024,https://twitter.com/RoyaltySource/status/568455491724161024
2015-02-19 12:32:27,NathanAhron,,0,0,0,"$vnda heloitz coming up short and they are guiding to a decrease in fanapt revenue yoy",,,,568387636156637186,https://twitter.com/NathanAhron/status/568387636156637186
2015-02-17 20:09:10,MaisaCorp,,0,0,0,"$VNDA still holding the RECORD to see its share rose from $1 to $10 in after hours when FDA approved Fanapt to Treat Schizophrenia in 2009",,,,567777800037392384,https://twitter.com/MaisaCorp/status/567777800037392384
